feature,gain,weight,perm_ap_drop
signed_vol_z,1.3059054613113403,803.0,-0.00028950029186643883
rev_speed_up_60,1.841318130493164,1087.0,-0.00029074749976990694
keltner_pos_360,2.7906413078308105,1346.0,-0.00035795499047230894
run_up_cnt_60,2.546738624572754,1075.0,-0.00037897201168778094
pct_from_max_30,2.9860265254974365,867.0,-0.0004342419108806922
bars_since_bhigh_60,2.4187533855438232,1906.0,-0.0004545674898694188
keltner_halfwidth_pct_60,55.75638961791992,151.0,-0.000468092715987814
run_up_cnt_30,1.804110050201416,517.0,-0.0005074044568778649
range_ratio_60_1440,2.9292869567871094,2890.0,-0.0005525671787403943
bars_since_bhigh_30,2.12080979347229,1451.0,-0.0006033348786989925
cci_1440,3.2731833457946777,1717.0,-0.000766989113254242
time_since_min_15,1.58767569065094,397.0,-0.0007693474811441073
volume_to_range_ema1440,3.133603572845459,3949.0,-0.0008356228686884903
vol_pct_1440,5.415738582611084,3544.0,-0.0010093567571957049
rev_speed_down_60,2.6534793376922607,923.0,-0.0012868884453452675
vol_pct_240,20.55202865600586,3049.0,-0.002386454803916173
